channel,idx,mrs,magnitude,angle,date
58.0,0.0003075708511261693,0.00012625351626752336,0.0003324752304042964,22.317461656504783,2022-02-25
59.0,-0.0001574754930270454,-0.00021550639314776173,0.000266911102038991,-126.15646126636015,2022-02-25
60.0,-0.0002158572459626667,-0.00021611264074553898,0.00030544888954553033,-134.96612485751098,2022-02-25
61.0,-0.000267940410359679,-0.000282117914085427,0.000389079144842827,-133.52355417061239,2022-02-25
62.0,-0.00026262943310472223,-0.00018448891692667365,0.00032095230113162436,-144.91316537167017,2022-02-25
63.0,-0.00014019251434122573,-0.00018792866467671717,0.00023445921624983904,-126.72249407128656,2022-02-25
64.0,-0.0013146210607482504,-0.001186761249465021,0.0017710535837728437,-137.9261649352136,2022-02-25
65.0,-0.00013084853025534514,-0.00011009085880171998,0.00017100097970972042,-139.9240494527817,2022-02-25
66.0,-0.001245568101242971,-0.0006668884164353697,0.0014128623623020382,-151.8350010925949,2022-02-25
67.0,-0.0009305211504381377,-0.00114389340320731,0.0014745717104684725,-129.12726516387835,2022-02-25
68.0,-0.0006156708388215949,-9.094473612209633e-05,0.0006223516102683466,-171.59723344621034,2022-02-25
69.0,0.00012805251133475912,-3.3799021962341016e-05,0.00013243798376881696,-14.785816063870874,2022-02-25
70.0,-0.0005531532695831436,-0.00017609219886102043,0.0005805058157764064,-162.34151575502304,2022-02-25
71.0,-0.0007967539827836473,0.001074433677246784,0.0013376190174648574,126.55904780059436,2022-02-25
72.0,-0.0006746032811627587,-0.0003695754516484537,0.0007692045250885611,-151.2842577159813,2022-02-25
73.0,-0.0005455228599124312,-7.328972956460828e-05,0.0005504239957947795,-172.34826172062265,2022-02-25
74.0,-0.0013900627248881264,-0.0017522715082734623,0.0022366783000311776,-128.4246815866908,2022-02-25
75.0,-0.00040582479664815315,-0.00040777486230993387,0.0005753034885227104,-134.86267162601848,2022-02-25
76.0,-0.00019777503574136407,-0.0002538874042414603,0.000321828803550839,-127.91813399839415,2022-02-25
77.0,-0.0004883608209873486,-0.0009024391746138011,0.0010261056258266377,-118.42032398045173,2022-02-25
78.0,-0.000667811333340496,-0.0010018923515128044,0.0012040599075452466,-123.6854390038216,2022-02-25
79.0,-0.0001672465977949639,-0.0006586089193772968,0.0006795124231074228,-104.24846689610887,2022-02-25
80.0,0.000248012426416874,0.0002311194045167307,0.0003390078801463965,42.98072674199514,2022-02-25
81.0,-0.0011170402072904412,-1.927113176365581e-06,0.0011170418696130715,-179.90115365464362,2022-02-25
82.0,-0.000791898193996895,-0.0004518901915715744,0.0009117606565838089,-150.2891136630682,2022-02-25
83.0,0.0002520350145592005,-0.0005621196802103556,0.0006160358621408731,-65.85018650722094,2022-02-25
84.0,-0.00024255215336613933,-0.00023573617787381315,0.00033823526229697764,-135.81645352828724,2022-02-25
85.0,-0.0005224589886037095,-2.7185238087723707e-06,0.0005224660612370051,-179.701874140446,2022-02-25
86.0,-0.00029438206806215285,-0.0003255163264759338,0.0004388868656031263,-132.12474828111456,2022-02-25
87.0,-0.00035165676800715434,-0.0003839350207221549,0.000520642471012651,-132.4874352468393,2022-02-25
88.0,-0.00033715947643237507,-0.0004382120822950096,0.0005529071726949123,-127.57460930967027,2022-02-25
89.0,-0.0007932711596765457,-0.0005739477796565813,0.0009791298108766228,-144.11349862147932,2022-02-25
90.0,0.0007486580708891851,0.001005228756255571,0.0012533849207289189,53.322590191481105,2022-02-25
91.0,-0.0007163974371281019,-0.0008286200707912269,0.0010953704896708558,-130.8456061764952,2022-02-25
92.0,-0.00021658278360983917,-0.0001560273550318829,0.0002669318970719529,-144.2308272221762,2022-02-25
93.0,-0.00030883887119686977,-0.0003725475766134932,0.00048391439863135227,-129.65845174542002,2022-02-25
94.0,-0.00024468158084799607,-0.0003009703872915357,0.00038788174748586896,-129.11026906779313,2022-02-25
95.0,-0.00025962246684671064,-0.0002571915066545794,0.0003654467079983399,-135.26950264331376,2022-02-25
0.0,-7.824254454574906e-05,-0.00023471751005885988,0.0002474150466427305,-108.43569018535369,2022-02-28
1.0,-0.00028568262094600874,-0.000404921249342803,0.000495556029203477,-125.20397760302541,2022-02-28
2.0,0.0003531548659818609,0.0006089799879044701,0.0007039708694504302,59.89003538474146,2022-02-28
3.0,-0.00013044618689563665,0.0008925984548318871,0.0009020799350633423,98.31446520766374,2022-02-28
4.0,-0.00017118455400958596,-0.00022813520155199032,0.00028521890140491757,-126.8832608756348,2022-02-28
5.0,0.0005691512106924999,0.00017750943141511,0.0005961901532850522,17.321890102792107,2022-02-28
6.0,0.0011628389513556711,0.0004098257401108361,0.0012329442663994799,19.414267508005814,2022-02-28
7.0,0.0001953959876176151,0.0007534273481042132,0.0007783523372152295,75.46105783745973,2022-02-28
8.0,0.0005204047476134269,0.00022026361210369895,0.000565099248057864,22.94072596908401,2022-02-28
9.0,-0.00035089007262095235,-0.0003686910530336143,0.0005089763606013275,-133.58290742208217,2022-02-28
10.0,0.00019042175556698482,0.00047743217344215714,0.0005140057638109854,68.25562887159533,2022-02-28
11.0,2.8221238087747857e-05,-0.0003030155318734681,0.00030432688155298756,-84.67912812422648,2022-02-28
12.0,0.0002536366646228273,0.00014562011292452195,0.0002924667073858888,29.861374289876498,2022-02-28
13.0,-0.00011128194422811816,-0.00010851133683463083,0.00015542966683625335,-135.72220452907078,2022-02-28
14.0,0.00030273851282761017,0.00037456951205562885,0.0004816149151663235,51.05379869572556,2022-02-28
15.0,-2.5322906461945834e-05,-0.0002516144433171463,0.00025288550309869064,-95.74699375231192,2022-02-28
16.0,-0.00019535079688727717,-0.0005521662765311147,0.0005857043031963566,-109.48326000401406,2022-02-28
17.0,-0.00019191928060040598,-0.0003435185207832898,0.00039349457987031646,-119.1915181614117,2022-02-28
18.0,-0.00012260537180937538,-0.00040176867050072536,0.00042005968836873124,-106.9703071433342,2022-02-28
19.0,-0.00023401234401755608,-0.00026538111896698885,0.00035382045652669955,-131.4057595077449,2022-02-28
20.0,1.4076395632437029e-05,-0.00022743733723656385,0.00022787252419556722,-86.45840638062977,2022-02-28
21.0,-0.0001592921750899283,-0.00027130640351331734,0.000314612716895251,-120.4184806594782,2022-02-28
22.0,-7.998505093347972e-05,-0.00031520607383860516,0.00032519605987400824,-104.23854257649229,2022-02-28
23.0,-5.9998378349083065e-05,-0.0002923588810110036,0.0002984518733573738,-101.59731432871057,2022-02-28
24.0,-0.00016206075963002262,-0.00016951781458537699,0.0002345207438024667,-133.7116605270121,2022-02-28
25.0,-8.002090111477385e-05,-0.00032404945000498843,0.00033378344875645933,-103.87113483888335,2022-02-28
26.0,0.00032479578622652785,0.00018220382739229251,0.0003724117848120662,29.291538371474992,2022-02-28
27.0,-0.00016582176603265443,-0.00031231842106395124,0.0003536094656907079,-117.96553788798738,2022-02-28
